,word,freq
2587,喜剧片,113
2754,不愧,113
2819,汤姆,113
6770,为啥,113
485,过分,112
557,悬疑片,112
896,日常,112
1048,晚上,112
1311,年龄,112
1576,鲜明,112
2063,尊严,112
2663,作用,112
4111,推进,112
4490,明天,112
6580,智慧,112
6830,活下去,112
202,山姆,111
321,拒绝,111
393,思维,111
541,家里,111
921,第二遍,111
1202,无情,111
2153,真诚,111
2561,长镜头,111
5666,过度,111
6002,莫名,111
8188,信念,111
2219,转折,110
3064,复仇,110
3093,延续,110
5662,一流,110
6494,战争片,110
7272,循环,110
8490,短暂,110
394,方法,109
1599,男性,109
1714,相互,109
2088,普通人,109
2560,歌舞片,109
2822,睡着,109
3131,爆发,109
3534,杀戮,109
7001,运动,109
7515,陷入,109
7728,太美,109
10050,高中,109
445,理论,108
581,新鲜,108
989,严肃,108
1067,饱满,108
1965,个体,108
2284,遭遇,108
3250,德国,108
3840,刚刚,108
3953,光芒,108
4540,票房,108
5041,和解,108
5367,奔跑,108
5420,爱情片,108
7703,碎片,108
8507,屠杀,108
9085,诞生,108
3037,电影节,107
4241,英语,107
5001,基础,107
5472,王祖贤,107
10194,太空,107
556,几部,106
1059,建立,106
1457,是从,106
1525,重复,106
2309,女神,106
3369,事物,106
3816,糟糕,106
5513,非洲,106
6429,隐藏,106
7593,理性,106
7826,漫长,106
9440,对不起,106
1253,尝试,105
2155,无关,105
2953,人才,105
3134,超过,105
4729,明星,105
8860,一家,105
41,高级,104
98,初中,104
553,影迷,104
684,境界,104
1638,背叛,104
1873,不让,104
2130,来到,104
2334,一对,104
2653,距离,104
3582,医生,104
4167,最爱,104
4336,三观,104
6007,天马行空,104
8081,习惯,104
8567,制度,104
9798,小津,104
10920,天朝,104
614,法庭,103
1188,这份,103
1823,石头,103
1828,近乎,103
2152,关怀,103
2197,不幸,103
2340,父爱,103
2769,记录,103
3414,特色,103
4543,格局,103
4591,对抗,103
4666,杰作,103
5070,全是,103
5720,个性,103
6258,美妙,103
7265,颠覆,103
2156,总能,102
3670,坚定,102
3845,歧视,102
3986,利益,102
4047,动作片,102
5732,没法,102
5736,吴宇森,102
7133,希区柯克,102
7311,带有,102
7810,如果说,102
407,无敌,101
801,给予,101
1109,艰难,101
2005,怀旧,101
2415,动画电影,101
2702,钻石,101
3026,痕迹,101
3562,貌似,101
3597,工整,101
5940,羡慕,101
6472,姐姐,101
8805,特工,101
158,重映,100
869,只不过,100
1027,好笑,100
1228,阴影,100
1707,天真,100
3530,无感,100
4201,主线,100
4349,天赋,100
4366,梦幻,100
4897,心底,100
5867,代入,100
6195,基因,100
6216,难忘,100
6273,热泪盈眶,100
217,烂片,99
596,惊人,99
2245,古典,99
2657,生死,99
2970,生硬,99
3611,手机,99
3669,缓慢,99
3908,默默,99
4671,一座,99
5903,突兀,99
6671,神秘,99
6883,浪费,99
6996,组织,99
7271,亲人,99
11439,还会,99
16443,活在,99
884,热爱,98
961,缺点,98
1472,成本,98
2269,吴镇宇,98
2388,科学,98
2721,伴随,98
3893,次郎,98
3985,忧伤,98
4986,贪婪,98
5552,两次,98
7980,值得一看,98
956,充斥,97
1533,之处,97
2277,模糊,97
4462,说出,97
6667,质感,97
10122,小丑,97
11094,宿命,97
12437,总体,97
12461,奶奶,97
446,漏洞,96
995,粗糙,96
1287,皮特,96
2144,泪目,96
2680,飞机,96
2937,泪水,96
3552,精准,96
3786,热血,96
3977,满满的,96
4460,北野武,96
5066,新意,96
6139,欧洲,96
7277,名单,96
8947,美版,96
271,支持,95
1185,后悔,95
1422,爱德华,95
1914,无辜,95
2030,胶片,95
2247,写实,95
2661,时隔,95
4004,永不,95
4197,丈夫,95
5213,汉克斯,95
5397,暧昧,95
6054,舞台,95
8670,钢琴,95
10081,眼里,95
213,白人,94
400,突破,94
1640,阴暗,94
1854,地狱,94
2001,客观,94
2184,分析,94
2351,奇妙,94
2855,达蒙,94
4732,喜爱,94
5533,生动,94
5679,屏幕,94
5916,缺少,94
7382,同性恋,94
10906,异常,94
14423,人设,94
15051,一秒,94
74,平衡,93
1117,指环王,93
2430,婚礼,93
3694,忠诚,93
3750,眼中,93
3826,随便,93
4226,船长,93
4716,房子,93
4896,歌曲,93
5706,一切都是,93
6172,图灵,93
6931,年轻人,93
12708,女生,93
105,无声,92
167,破坏,92
264,监狱,92
703,不该,92
2618,相爱,92
2883,得以,92
3347,话题,92
3579,暗恋,92
3686,大众,92
4205,溥仪,92
4750,人格分裂,92
5416,稍微,92
6694,深沉,92
47,爆炸,91
904,华语,91
1073,解读,91
1574,经典之作,91
1660,笑料,91
2255,精巧,91
2610,一个个,91
2707,圆满,91
3564,小学,91
4331,穷人,91
4576,逃避,91
5692,原型,91
6181,扎实,91
8610,海报,91
8713,级别,91
10782,光辉,91
19589,仇恨,91
1193,这场,90
1277,神话,90
3245,伯恩,90
3281,信息,90
3467,多余,90
3904,胜利,90
3959,基调,90
4018,呼应,90
4929,对立,90
5353,职业,90
5739,手段,90
5942,小演员,90
6701,期望,90
6888,愚蠢,90
7926,电话,90
8267,受不了,90
8817,主流,90
9234,乐队,90
10102,民主,90
10335,错误,90
326,衣服,89
738,阿凡,89
1169,片头,89
1331,恋爱,89
1954,打破,89
2575,冰冷,89
3819,琐碎,89
4788,敌人,89
4841,好评,89
4912,现场,89
6177,扭曲,89
10046,终结,89
12845,权利,89
110,時候,88
193,质量,88
198,甘道夫,88
568,方向,88
634,出生,88
863,娱乐,88
1709,丑陋,88
